"","date","brand","fuel","count"
"1",2013-01-01,"ABARTH","ICE",1
"2",2013-01-01,"ACURA","ICE",2
"3",2013-01-01,"ASIA","ICE",1
"4",2013-01-01,"AUDI","ICE",105
"5",2013-01-01,"BMW","ICE",120
"6",2013-01-01,"BYD","ICE",35
"7",2013-01-01,"CHERY","ICE",82
"8",2013-01-01,"CHEVROLET","ICE",206
"9",2013-01-01,"CHRYSLER","ICE",2
"10",2013-01-01,"CITROEN","ICE",94
"11",2013-01-01,"DACIA","ICE",8
"12",2013-01-01,"DAEWOO","ICE",235
"13",2013-01-01,"DAIHATSU","ICE",3
"14",2013-01-01,"DODGE","ICE",6
"15",2013-01-01,"FIAT","ICE",96
"16",2013-01-01,"FORD","ICE",321
"17",2013-01-01,"GEELY","ICE",592
"18",2013-01-01,"GREAT","ICE",29
"19",2013-01-01,"HAFEI","ICE",4
"20",2013-01-01,"HONDA","ICE",115
"21",2013-01-01,"HYUNDAI","ICE",638
"22",2013-01-01,"INFINITI","ICE",21
"23",2013-01-01,"IVECO","ICE",1
"24",2013-01-01,"JAGUAR","ICE",1
"25",2013-01-01,"JEEP","ICE",10
"26",2013-01-01,"KIA","ICE",418
"27",2013-01-01,"LADA","ICE",6
"28",2013-01-01,"LANCIA","ICE",4
"29",2013-01-01,"LAND","ICE",33
"30",2013-01-01,"LEXUS","ICE",60
"31",2013-01-01,"LEXUS","PHEV",6
"32",2013-01-01,"LIFAN","ICE",12
"33",2013-01-01,"MAZDA","ICE",93
"34",2013-01-01,"MERCEDES-BENZ","ICE",205
"35",2013-01-01,"MG","ICE",18
"36",2013-01-01,"MINI","ICE",2
"37",2013-01-01,"MITSUBISHI","ICE",213
"38",2013-01-01,"NISSAN","ICE",565
"39",2013-01-01,"OPEL","ICE",141
"40",2013-01-01,"PEUGEOT","ICE",110
"41",2013-01-01,"PORSCHE","ICE",11
"42",2013-01-01,"RENAULT","ICE",328
"43",2013-01-01,"ROVER","ICE",1
"44",2013-01-01,"SAAB","ICE",1
"45",2013-01-01,"SAIPA","ICE",6
"46",2013-01-01,"SAMAND","ICE",3
"47",2013-01-01,"SEAT","ICE",2
"48",2013-01-01,"SKODA","ICE",204
"49",2013-01-01,"SMART","ICE",30
"50",2013-01-01,"SSANG","ICE",54
"51",2013-01-01,"SUBARU","ICE",37
"52",2013-01-01,"SUZUKI","ICE",58
"53",2013-01-01,"TOYOTA","ICE",509
"54",2013-01-01,"TOYOTA","PHEV",2
"55",2013-01-01,"VOLKSWAGEN","ICE",507
"56",2013-01-01,"VOLVO","ICE",27
"57",2013-01-01,"АЗЛК","ICE",2
"58",2013-01-01,"АС","ICE",5
"59",2013-01-01,"БОГДАН","ICE",38
"60",2013-01-01,"ВАЗ","ICE",728
"61",2013-01-01,"ГАЗ","ICE",18
"62",2013-01-01,"ЗАЗ","ICE",309
"63",2013-01-01,"ЗАЗ-DAEWOO","ICE",19
"64",2013-01-01,"ИЖ","ICE",2
"65",2013-01-01,"РАФ","ICE",1
"66",2013-01-01,"ТК","ICE",14
"67",2013-01-01,"УАЗ","ICE",15
"68",2013-02-01,"ABARTH","ICE",1
"69",2013-02-01,"ACURA","ICE",2
"70",2013-02-01,"ALFA","ICE",5
"71",2013-02-01,"AUDI","ICE",163
"72",2013-02-01,"BENTLEY","ICE",2
"73",2013-02-01,"BMW","ICE",172
"74",2013-02-01,"BYD","ICE",35
"75",2013-02-01,"CADILLAC","ICE",4
"76",2013-02-01,"CHANGAN","ICE",1
"77",2013-02-01,"CHERY","ICE",68
"78",2013-02-01,"CHEVROLET","ICE",232
"79",2013-02-01,"CHRYSLER","ICE",2
"80",2013-02-01,"CITROEN","ICE",152
"81",2013-02-01,"DACIA","ICE",7
"82",2013-02-01,"DADI","ICE",1
"83",2013-02-01,"DAEWOO","ICE",154
"84",2013-02-01,"DAIHATSU","ICE",10
"85",2013-02-01,"DODGE","ICE",5
"86",2013-02-01,"FIAT","ICE",220
"87",2013-02-01,"FORD","ICE",371
"88",2013-02-01,"GEELY","ICE",358
"89",2013-02-01,"GREAT","ICE",51
"90",2013-02-01,"HAFEI","ICE",3
"91",2013-02-01,"HONDA","ICE",154
"92",2013-02-01,"HYUNDAI","ICE",715
"93",2013-02-01,"IDEAL","ICE",1
"94",2013-02-01,"INFINITI","ICE",27
"95",2013-02-01,"ISUZU","ICE",2
"96",2013-02-01,"JAGUAR","ICE",5
"97",2013-02-01,"JEEP","ICE",14
"98",2013-02-01,"KIA","ICE",515
"99",2013-02-01,"LADA","ICE",6
"100",2013-02-01,"LANCIA","ICE",6
"101",2013-02-01,"LAND","ICE",76
"102",2013-02-01,"LEXUS","ICE",59
"103",2013-02-01,"LEXUS","PHEV",5
"104",2013-02-01,"LIFAN","ICE",58
"105",2013-02-01,"LINCOLN","ICE",1
"106",2013-02-01,"MAPLE","ICE",1
"107",2013-02-01,"MAYBACH","ICE",1
"108",2013-02-01,"MAZDA","ICE",146
"109",2013-02-01,"MERCEDES-BENZ","ICE",235
"110",2013-02-01,"MG","ICE",34
"111",2013-02-01,"MINI","ICE",9
"112",2013-02-01,"MITSUBISHI","ICE",286
"113",2013-02-01,"NISSAN","ICE",630
"114",2013-02-01,"OPEL","ICE",185
"115",2013-02-01,"PEUGEOT","ICE",177
"116",2013-02-01,"PLYMOUTH","ICE",1
"117",2013-02-01,"PORSCHE","ICE",32
"118",2013-02-01,"PORSCHE","PHEV",1
"119",2013-02-01,"RENAULT","ICE",426
"120",2013-02-01,"ROVER","ICE",2
"121",2013-02-01,"SAAB","ICE",1
"122",2013-02-01,"SAIPA","ICE",6
"123",2013-02-01,"SAMAND","ICE",4
"124",2013-02-01,"SEAT","ICE",10
"125",2013-02-01,"SKODA","ICE",217
"126",2013-02-01,"SMA","ICE",2
"127",2013-02-01,"SMART","ICE",31
"128",2013-02-01,"SSANG","ICE",85
"129",2013-02-01,"SUBARU","ICE",60
"130",2013-02-01,"SUZUKI","ICE",71
"131",2013-02-01,"TATA","ICE",1
"132",2013-02-01,"TOYOTA","ICE",627
"133",2013-02-01,"VOLKSWAGEN","ICE",605
"134",2013-02-01,"VOLVO","ICE",38
"135",2013-02-01,"АЗЛК","ICE",4
"136",2013-02-01,"АС","ICE",36
"137",2013-02-01,"БОГДАН","ICE",158
"138",2013-02-01,"ВАЗ","ICE",708
"139",2013-02-01,"ГАЗ","ICE",20
"140",2013-02-01,"ЗАЗ","ICE",343
"141",2013-02-01,"ЗАЗ-DAEWOO","ICE",20
"142",2013-02-01,"ЛУАЗ","ICE",1
"143",2013-02-01,"СЕАЗ","ICE",1
"144",2013-02-01,"ТК","ICE",9
"145",2013-02-01,"УАЗ","ICE",12
"146",2013-03-01,"ABARTH","ICE",1
"147",2013-03-01,"ACURA","ICE",4
"148",2013-03-01,"ALFA","ICE",4
"149",2013-03-01,"AUDI","ICE",163
"150",2013-03-01,"BENTLEY","ICE",2
"151",2013-03-01,"BMW","ICE",233
"152",2013-03-01,"BYD","ICE",92
"153",2013-03-01,"CADILLAC","ICE",1
"154",2013-03-01,"CHERY","ICE",147
"155",2013-03-01,"CHEVROLET","ICE",468
"156",2013-03-01,"CHEVROLET","PHEV",1
"157",2013-03-01,"CHRYSLER","ICE",3
"158",2013-03-01,"CITROEN","BEV",1
"159",2013-03-01,"CITROEN","ICE",277
"160",2013-03-01,"DACIA","ICE",10
"161",2013-03-01,"DAEWOO","ICE",212
"162",2013-03-01,"DAIHATSU","ICE",12
"163",2013-03-01,"DODGE","ICE",3
"164",2013-03-01,"FIAT","ICE",195
"165",2013-03-01,"FORD","ICE",535
"166",2013-03-01,"GEELY","ICE",945
"167",2013-03-01,"GREAT","ICE",97
"168",2013-03-01,"HAFEI","ICE",6
"169",2013-03-01,"HONDA","ICE",183
"170",2013-03-01,"HUABEI","ICE",1
"171",2013-03-01,"HUMMER","ICE",1
